academicyear,admin_share_ru_camden,admin_share_princeton,admin_share_njit,admin_share_montclair,tuitionfee_camden,tuitionfee_princeton,tuition_njit,tuition_montclair,govt_reliance_ru_camden,govt_reliance_princeton,govt_reliance_njit,govt_reliance_montclair,grant_ru_camden,grants_princeton,grants_njit,grants_montclair
1987,0.3276238,0.3325549,0.3605202,0.3111732,2177,11780,2712,1624,0.7499948,0.3605586,0.7307581,0.7048739,73440488,50758000,8895000,3140000
1988,0.322465,0.3305537,0.3836729,0.3656181,2455,12550,2944,1800,0.7357003,0.3631513,0.6938464,0.777418,74829415,53835000,6344000,5109083
1989,0.3266281,0.3401507,0.3713434,0.3745527,2628,13380,3225,1976,0.7354307,0.3468486,0.6911405,0.7729616,84546439,55570000,9519258,4563272
1990,0.3169962,0.34136,0.3579733,0.3778482,2941,14390,3560,2168,0.7164627,0.3491805,0.660032,0.7483847,96638000,59735000,1176112,4629838
1991,0.3161467,0.3407149,0.3389414,0.383741,3279,15440,4000,2400,0.686529,0.3460551,0.6215262,0.7104446,105287000,60089000,11958000,5454302
1992,0.2982142,0.3395346,0.3413227,0.3807749,3670,16570,4288,2612,0.6916625,0.318994,0.6367213,0.711042,121177000,63505000,12651000,5745123
1993,0.2899497,0.333627,0.3549367,0.3765748,3857,17750,4524,2686,0.6832619,0.3196703,0.6536784,0.6999061,129318000,64372000,19480000,5709172
1994,0.2796013,0.3364122,0.3350692,0.3813285,4098,18940,4790,2844,0.6884279,0.3323649,0.6843647,0.6955625,146343000,67271000,24695000,5340556
1995,0.2753498,0.3370224,0.3357756,0.3704989,4490,19900,4980,2985,0.6858929,0.3454744,0.7057596,0.7022021,156253472,73025000,26365000,6261900
1996,0.2781678,0.3541124,0.3380549,0.3660825,4681,20960,5220,3162,0.7109876,0.2952633,0.7005331,0.6911478,246879008,78405928,33509000,7387677
1997,0.2652569,0.3790202,0.3360558,0.3703908,4948,22000,5466,3466,0.6582699,0.0616759,0.6916606,0.6721789,149418000,60992000,33060000,6550435
1998,0.2652627,0.3583767,0.3280013,0.395176,5189,22920,5802,3738,0.6538696,0.0691871,0.6726379,0.6538087,156658000,76058000,36039000,7808286
1999,0.2577299,0.3528722,0.3216492,0.3807671,5586,23820,6214,4120,0.6402621,0.0630053,0.6689946,0.6394369,167497000,86784000,36826000,8826153
